Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Acc X,Acc Y,Acc Z,Vel X,Vel Y,Vel Z,DIsp X,Disp Y,Disp Z
0.007756,0.01143,-0.000653,-0.009587,-0.012529,0.996503,0,0,0,0.00184,0.032865,0,14.6932,27.2755,6.9e-05
0.013366,0.015573,-0.00163,-0.009582,-0.012521,0.996503,0,0.102253,0,0,0.034462,0,14.6932,27.2762,6.9e-05
0.006775,0.0141,-0.003095,-0.009583,-0.012513,0.996503,0,0.117557,0,0,0.036331,0,14.6932,27.2769,6.9e-05
0.008717,0.009714,0.004229,-0.009571,-0.012521,0.996503,0.101378,0.1042,0,0.00191,0.037931,0,14.6932,27.2776,6.9e-05
0.006032,0.008741,0.010089,-0.009572,-0.012525,0.996503,0,0.125688,0,0.001891,0.039913,0,14.6933,27.2784,6.9e-05
0.012629,0.000938,0.00838,-0.009577,-0.012534,0.996503,0.102948,0.134942,0,0.003804,0.042047,0,14.6933,27.2792,6.9e-05
0.010684,0.013626,0.0013,-0.009586,-0.012527,0.996503,0.106598,0.144495,0,0.00577,0.044343,0,14.6935,27.28,6.9e-05
0.012888,0.02436,0.003497,-0.009592,-0.01252,0.996503,0.113086,0.166387,0,0.007838,0.047026,0,14.6936,27.2809,6.9e-05
0.010203,0.01483,0.004718,-0.009593,-0.012511,0.996503,0,0.140686,0,0.007759,0.049201,0,14.6938,27.2819,6.9e-05
0.011179,0.016779,0.006671,-0.009592,-0.012506,0.996503,0,0,0,0,0.048709,0,14.6938,27.2828,6.9e-05
0.010684,0.01042,-0.001142,-0.009585,-0.012496,0.996503,0.119257,0,0,0.002233,0,0,14.6938,27.2828,6.9e-05
0.008727,0.005779,0.008624,-0.009581,-0.012493,0.996503,0,0,0,0.00221,0,0,14.6938,27.2828,6.9e-05
0.004081,0.007489,-0.002607,-0.009575,-0.012494,0.996503,0,0.102045,0,0,0.00191,0,14.6938,27.2828,6.9e-05
0.007504,0.010418,0.011065,-0.009579,-0.012493,0.996503,0,0.129659,0,0,0.004333,0,14.6938,27.2829,6.9e-05
0.011165,0.018476,-0.001386,-0.009578,-0.012495,0.996503,0.133146,0.141778,0,0.002497,0.006948,0,14.6939,27.283,6.9e-05
0.015074,0.015537,-0.003095,-0.009581,-0.012485,0.996503,0.131738,0.149854,0,0.004959,0.009707,0,14.694,27.2832,6.9e-05
0.014339,0.014062,0.000322,-0.009578,-0.012475,0.996504,0.108255,0.138092,0,0.006953,0.012217,0,14.6941,27.2835,6.9e-05
0.013113,0.012835,0.005449,-0.009573,-0.012469,0.996504,0,0,0,0.006883,0.012095,0,14.6942,27.2837,6.9e-05
0.006035,0.004779,0.005938,-0.009575,-0.01247,0.996504,0,0,0,0,0,0,14.6942,27.2837,6.9e-05
0.009204,0.005263,0.00252,-0.00957,-0.012465,0.996504,0,0,0,0,0,0,14.6942,27.2837,6.9e-05
0.015062,0.009657,7.8e-05,-0.009569,-0.012465,0.996504,0.120329,0.156095,0,0.00225,0.002919,0,14.6943,27.2838,6.9e-05
0.01116,0.015756,0.004717,-0.009573,-0.01246,0.996504,0,0.154885,0,0.002228,0.0058,0,14.6943,27.2839,6.9e-05
0.009455,0.015992,-0.00334,-0.009577,-0.012452,0.996504,0,0.157032,0,0,0.00869,0,14.6943,27.284,6.9e-05
0.003342,0.013546,0.001055,-0.009567,-0.012448,0.996504,0,0.122303,0,0,0.010906,0,14.6943,27.2842,6.9e-05
0.007489,0.012561,0.011308,-0.009564,-0.012439,0.996504,0.112605,0,0,0.00211,0.010797,0,14.6944,27.2844,6.9e-05
0.010909,0.009628,0.011553,-0.009566,-0.012436,0.996504,0.11172,0,0,0.004187,0,0,14.6945,27.2844,6.9e-05
0.011642,0.004994,0.001055,-0.009566,-0.01244,0.996504,0.109989,0,0,0.006208,0,0,14.6946,27.2844,6.9e-05
0.006271,0.011342,0.008867,-0.009567,-0.012441,0.996504,0.099941,0.136147,0,0.008019,0.002551,0,14.6947,27.2845,6.9e-05
0.009449,0.003287,0.000566,-0.009571,-0.012442,0.996504,0.110421,0.148949,0,0.010014,0.005326,0,14.6949,27.2846,6.9e-05
0.005546,0.020125,0.009844,-0.009575,-0.012435,0.996504,0.113913,0.141958,0,0.012056,0.007942,0,14.6951,27.2848,6.9e-05
0.007976,0.019877,0.005449,-0.009563,-0.012431,0.996504,0.118214,0.114567,0,0.014158,0.010016,0,14.6954,27.2849,6.9e-05
0.006753,0.014009,0.004716,-0.009561,-0.012423,0.996504,0,0,0,0.014016,0.009916,0,14.6957,27.2851,6.9e-05
0.005774,0.010837,0.008134,-0.009558,-0.012424,0.996505,0,0,0,0,0,0,14.6957,27.2851,6.9e-05
0.003823,0.006437,0.003495,-0.00956,-0.012418,0.996505,0.10134,0.114273,0,0.001895,0.002137,0,14.6957,27.2852,6.9e-05
0.012115,0.008148,0.008378,-0.009552,-0.01242,0.996504,0.122477,0.112598,0,0.004179,0.004233,0,14.6958,27.2853,6.9e-05
0.005764,0.013275,0.007646,-0.009548,-0.01242,0.996505,0,0.148155,0,0.004137,0.006976,0,14.6959,27.2854,6.9e-05
0.011137,0.012056,0.003496,-0.00955,-0.012423,0.996504,0,0.138906,0,0,0.009513,0,14.6959,27.2856,6.9e-05
0.004542,0.014979,0.011064,-0.009546,-0.012416,0.996505,0,0.112169,0,0,0.011521,0,14.6959,27.2858,6.9e-05
0.014786,0.012053,-0.001632,-0.009537,-0.012419,0.996505,0.103045,0.115627,0,0.001932,0.013574,0,14.6959,27.2861,6.9e-05
0.007705,0.008881,0.00789,-0.009536,-0.012421,0.996505,0,0.099777,0,0.001913,0.015322,0,14.696,27.2863,6.9e-05
0.008674,0.010591,0.009843,-0.009529,-0.012422,0.996505,0,0.101952,0,0,0.017082,0,14.696,27.2867,6.9e-05
0.007455,0.008151,0.003251,-0.00953,-0.012423,0.996505,0.135278,0.120746,0,0.002535,0.019175,0,14.696,27.287,6.9e-05
0.007698,0.013773,-0.001387,-0.009529,-0.012431,0.996504,0,0.150783,0,0.00251,0.021816,0,14.6961,27.2875,6.9e-05
0.004759,0.015971,0.003739,-0.009519,-0.012431,0.996505,0,0.165471,0,0,0.02472,0,14.6961,27.2879,6.9e-05
0.005974,0.015719,0.00203,-0.009514,-0.012423,0.996505,0,0.124656,0,0,0.02681,0,14.6961,27.2885,6.9e-05
0.016714,0.01791,0.003251,-0.009512,-0.012417,0.996505,0.126606,0.131607,0,0.002374,0.02901,0,14.6961,27.289,6.9e-05
0.004991,0.013995,0.000809,-0.009508,-0.012408,0.996505,0.098437,0,0,0.0042,0.02872,0,14.6962,27.2896,6.9e-05
0.003525,0.008377,0.005448,-0.009507,-0.012406,0.996505,0,0,0,0.004158,0,0,14.6963,27.2896,6.9e-05
0.012068,0.004957,0.000809,-0.009504,-0.012403,0.996505,0,0.146854,0,0,0.002749,0,14.6963,27.2896,6.9e-05
0.007191,0.010813,-0.00212,-0.00951,-0.0124,0.996505,0,0.152871,0,0,0.005588,0,14.6963,27.2897,6.9e-05
0.011093,0.020576,0.00911,-0.009506,-0.012397,0.996505,0,0.168483,0,0,0.008705,0,14.6963,27.2899,6.9e-05
0.011088,0.020324,-0.0009,-0.009501,-0.012389,0.996505,0.115942,0.145597,0,0.002173,0.011346,0,14.6963,27.2901,6.9e-05
0.010596,0.014452,0.011307,-0.009497,-0.012376,0.996506,0,0.132149,0,0.002151,0.013728,0,14.6963,27.2904,6.9e-05
0.0123,0.014192,0.004471,-0.009493,-0.012361,0.996506,0,0,0,0,0.01359,0,14.6963,27.2906,6.9e-05
0.008644,0.006869,0.005936,-0.009498,-0.012362,0.996506,0,0,0,0,0,0,14.6963,27.2906,6.9e-05
0.014986,0.006633,-0.001144,-0.009493,-0.01237,0.996506,0.109029,0,0,0.002039,0,0,14.6964,27.2906,6.9e-05
0.005959,0.010784,0.011063,-0.009499,-0.012371,0.996506,0,0.126552,0,0.002019,0.002384,0,14.6964,27.2907,6.9e-05
0.014988,0.013958,-0.003097,-0.009495,-0.012371,0.996506,0,0.149369,0,0,0.005164,0,14.6964,27.2908,6.9e-05
0.012049,0.012984,-0.003586,-0.009486,-0.012374,0.996506,0,0.119438,0,0,0.007363,0,14.6964,27.2909,6.9e-05
0.004003,0.014193,0.002762,-0.009496,-0.012362,0.996506,0,0.11756,0,0,0.009503,0,14.6964,27.2911,6.9e-05
0.011323,0.0137,0.006668,-0.009492,-0.012358,0.996506,0,0,0,0,0.009408,0,14.6964,27.2913,6.9e-05
0.015232,0.008088,-0.001388,-0.009495,-0.01236,0.996506,0.123483,0,0,0.002312,0,0,14.6965,27.2913,6.9e-05
0.00839,0.002477,0.008133,-0.009489,-0.012365,0.996506,0.116807,0,0,0.004489,0,0,14.6966,27.2913,6.9e-05
0.013274,0.005661,0.008621,-0.00949,-0.012375,0.996506,0.129142,0.120669,0,0.006865,0.002261,0,14.6967,27.2913,6.9e-05
0.003514,0.006399,0.00325,-0.009496,-0.012381,0.996506,0,0.162504,0,0.006796,0.005294,0,14.6968,27.2914,6.9e-05
0.010853,0.00786,7.7e-05,-0.009511,-0.012376,0.996505,0,0.150968,0,0,0.008075,0,14.6968,27.2916,6.9e-05
0.007186,0.013718,0.008377,-0.009506,-0.012375,0.996505,0,0.159174,0,0,0.010977,0,14.6968,27.2918,6.9e-05
