Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Acceleration X,Acceleration Y,Channel 9,Velocity X,Velocity Y,Channel 12,Displacement X,DIsplacement Y,Channel 15
771,70,-8735,1149,118,-12813,0,0,-43.14,0,-0.01,-58.7,0,0,-40.54
777,61,-8729,1154,109,-12807,0,0,-43.13,0,-0.01,-59.56,0,0,-41.72
781,58,-8727,1158,106,-12805,0,0,-43.12,0,-0.01,-59.56,0,0,-41.72
778,51,-8720,1155,99,-12798,0,0,-43.11,0,-0.01,-59.56,0,0,-41.72
781,51,-8730,1158,99,-12808,0,0,-43.13,0,-0.01,-59.56,0,0,-41.72
785,61,-8721,1162,109,-12799,0,0,-43.11,0,-0.01,-59.56,0,0,-41.72
779,65,-8722,1156,113,-12800,0,0,-43.11,0,-0.01,-59.56,0,0,-41.72
785,68,-8728,1162,116,-12806,0,0,-43.13,0,-0.01,-59.56,0,0,-41.72
781,64,-8725,1158,112,-12803,0,0,-43.12,0,-0.01,-59.56,0,0,-41.72
779,63,-8722,1156,111,-12800,0,0,-43.11,0,-0.01,-60.42,0,0,-42.94
775,59,-8722,1152,107,-12800,0,0,-43.11,0,-0.01,-60.42,0,0,-42.94
773,60,-8725,1150,108,-12803,0,0,-43.12,0,-0.01,-60.42,0,0,-42.94
766,62,-8735,1143,110,-12813,0,0,-43.14,0,-0.01,-60.42,0,0,-42.94
770,56,-8736,1147,104,-12814,0,0,-43.15,0,-0.01,-60.42,0,0,-42.94
777,59,-8728,1154,107,-12806,0,0,-43.13,0,-0.01,-60.42,0,0,-42.94
778,64,-8735,1155,112,-12813,0,0,-43.14,0,-0.01,-60.42,0,0,-42.94
776,63,-8732,1153,111,-12810,0,0,-43.14,0,-0.01,-60.42,0,0,-42.94
774,60,-8717,1151,108,-12795,0,0,-43.1,0,-0.01,-61.28,0,0,-44.15
774,62,-8715,1151,110,-12793,0,0,-43.1,0,-0.01,-61.28,0,0,-44.15
770,55,-8722,1147,103,-12800,0,0,-43.11,0,-0.01,-61.28,0,0,-44.15
772,59,-8727,1149,107,-12805,0,0,-43.12,0,-0.01,-61.28,0,0,-44.15
775,63,-8731,1152,111,-12809,0,0,-43.13,0,-0.01,-61.28,0,0,-44.15
777,61,-8714,1154,109,-12792,0,0,-43.09,0,-0.01,-61.28,0,0,-44.15
781,59,-8721,1158,107,-12799,0,0,-43.11,0,-0.01,-61.28,0,0,-44.15
781,57,-8724,1158,105,-12802,0,0,-43.12,0,-0.01,-61.28,0,0,-44.15
788,62,-8716,1165,110,-12794,0,0,-43.1,0,-0.01,-62.13,0,0,-45.38
785,61,-8730,1162,109,-12808,0,0,-43.13,0,-0.01,-62.13,0,0,-45.38
780,61,-8726,1157,109,-12804,0,0,-43.12,0,-0.01,-62.13,0,0,-45.38
779,62,-8728,1156,110,-12806,0,0,-43.13,0,-0.01,-62.13,0,0,-45.38
771,63,-8728,1148,111,-12806,0,0,-43.13,0,-0.01,-62.13,0,0,-45.38
776,59,-8726,1153,107,-12804,0,0,-43.12,0,-0.01,-62.13,0,0,-45.38
776,58,-8711,1153,106,-12789,0,0,-43.09,0,-0.01,-62.13,0,0,-45.38
775,56,-8716,1152,104,-12794,0,0,-43.1,0,-0.01,-62.13,0,0,-45.38
776,54,-8713,1153,102,-12791,0,0,-43.09,0,-0.01,-63,0,0,-46.65
778,52,-8718,1155,100,-12796,0,0,-43.1,0,-0.01,-63,0,0,-46.65
776,57,-8716,1153,105,-12794,0,0,-43.1,0,-0.01,-63,0,0,-46.65
774,55,-8716,1151,103,-12794,0,0,-43.1,0,-0.01,-63,0,0,-46.65
771,61,-8721,1148,109,-12799,0,0,-43.11,0,-0.01,-63,0,0,-46.65
